tick,year,month,business_id,type,city,stage,active,revenue,opex,tax,profit,cash,debt,employees,marketing_budget,reputation,price_mult,capacity,quality,subscribers,mrr
0,2024,1,1,restaurant,SaintPetersburg,opening,true,1447836.02,1538178.04,86870.16,-177212.18,2886980.23,0,7,92488.93,0.64,1.1,1,0.51,0,0
0,2024,1,2,restaurant,Kazan,opening,true,1526080.96,1817759.12,91564.86,-383243.02,1928996.64,0,11,124833.22,0.69,1.02,1,0.58,0,0
0,2024,1,3,saas,Yekaterinburg,opening,true,124170.3,1514533.11,0,-1390362.81,441518.13,0,9,59942.69,0.39,1.05,1,0.74,72,118772.75
0,2024,1,4,retail,SaintPetersburg,opening,true,3490007.14,3086939.48,60460.15,342607.51,4131230.3,0,7,154938.35,0.52,0.99,1,0.56,0,0
0,2024,1,5,saas,Moscow,opening,true,121909.51,2196091.39,0,-2074181.88,2074687.1,0,8,74276.85,0.66,0.91,1,0.72,67,95543.6
0,2024,1,6,logistics,Moscow,opening,true,1239671.34,2544978.34,74380.28,-1379687.28,4674286.41,0,12,126755.83,0.59,1.01,1,0.64,0,0
0,2024,1,7,retail,Moscow,opening,true,3705136.22,3678540.5,3989.36,22606.36,5191091.93,0,11,129911.44,0.58,1.14,1,0.54,0,0
0,2024,1,8,production,Yekaterinburg,opening,true,893996.68,2852624.35,53639.8,-2012267.47,3390399.96,0,18,381569.46,0.49,0.89,1,0.58,0,0
0,2024,1,9,production,Novosibirsk,opening,true,977353.28,4466783.77,0,-3489430.49,1606967.25,0,36,110392.2,0.47,0.89,1,0.77,0,0
0,2024,1,10,logistics,Yekaterinburg,opening,true,1667545.71,2744528.3,0,-1076982.59,4560121.25,0,16,258764.9,0.48,1.07,1,0.75,0,0
0,2024,1,11,retail,Novosibirsk,opening,true,4362906.16,3759294.56,261774.37,341837.23,2792781.69,0,13,110659.32,0.72,1.16,1,0.64,0,0
0,2024,1,12,restaurant,Novosibirsk,growth,true,3231196.01,1945987.32,192781.3,1092427.39,5509367.39,0,7,85482.55,0.56,0.98,1,0.66,0,0
